,school,school_norm,school_standard,specialization,specialization_norm,specialization_standard
9428,CAO ĐẲNG CÔNG NGHỆ THỦ ĐỨC,cao dang cong nghe thu duc,cao dang cong nghe thu duc,Chuyên ngành cơ khí,chuyen nganh co khi,chuyen nganh
9429,Trung cấp kinh tế - kỹ thuật Tây Nam Á,trung cap kinh te ky thuat tay nam a,trung cap kinh te ky thuat tay nam a,Quản Trị Kinh Doanh,quan tri kinh doanh,quan tri kinh doanh
9430,ĐH Mỏ - Địa Chất,dai hoc mo dia chat,dai hoc mo dia chat,khai Thác Mỏ,khai thac mo,CannotFound
9431,Trường THPT Huỳnh Văn Sâm,trung hoc pho thong huynh van sam,trung hoc pho thong huynh van sam,Chuyên ngành,chuyen nganh,chuyen nganh
9432,dai hoc tien giang,dai hoc tien giang,dai hoc tien giang,Xây Dựng,xay dung,quan ly xay dung
9433,Dai Hoc Cong Nghe Sai Gon,dai hoc cong nghe sai gon,dai hoc cong nghe sai gon,Fashion & Design,fashion design,thiet ke thoi trang
9434,Tôn Đức Thắng,ton duc thang,ton duc thang,Chuyên ngành,chuyen nganh,chuyen nganh
9435,Trường Đại học Kinh Tế Quốc Dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Finance,finance,tai chinh ngan hang
9436,truong dh cong nghiep tphcm,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9437,Hanoi National University of Education,hanoi national university of education,hanoi national university of education,Chuyên ngành,chuyen nganh,chuyen nganh
9438,Trung cấp nghề Nhân Đạo,trung cap nghe nhan dao,trung cap nghe nhan dao,Công tác xã hội,cong tac xa hoi,cong tac xa hoi
9439,jr,jr,jr,kr,kr,CannotFound
9440,Trường Đại Học Khoa Học Tự Nhiên,dai hoc khoa hoc tu nhien,dai hoc khoa hoc tu nhien,Chuyên ngành,chuyen nganh,chuyen nganh
9441,Ho Chi Minh City University of Technology,hcm university of technology,hcm university of technology,Chuyên ngành,chuyen nganh,chuyen nganh
9442,IUH -  ĐH Công Nghiệp TP.HCM,iuh dai hoc cong nghiep hcm,iuh dai hoc cong nghiep hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9443,Hiệp Bình,hiep binh,hiep binh,THPT,trung hoc pho thong,CannotFound
9444,Đại học Kinh tế TpHcm,dai hoc kinh te hcm,dai hoc kinh te hcm,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
9445,Trường Đại học Khoa học Xã hội và Nhân văn,dai hoc khoa hoc xa hoi nhan van,dai hoc khoa hoc xa hoi nhan van,Văn học,van hoc,van hoc
9446,Trường Đại Học Lao Động - Xã Hội CSII,dai hoc lao dong xa hoi co so 2,dai hoc lao dong xa hoi co so 2,Chuyên ngành,chuyen nganh,chuyen nganh
9447,cao dang cong thuong,cao dang cong thuong,cao dang cong thuong,ky sư xay dung,ky su xay dung,CannotFound
9448,Trường Đại học Tài chính - Marketing,dai hoc tai chinh marketing,dai hoc tai chinh marketing,Chuyên ngành,chuyen nganh,chuyen nganh
9449,Đại học kinh tế quốc dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
9450,VSVC,vsvc,vsvc,Chuyên ngành,chuyen nganh,chuyen nganh
9451,THPT Bà Điểm,trung hoc pho thong ba diem,trung hoc pho thong ba diem,không- Ho,khong ho,CannotFound
9452,Lê thành công,le thanh cong,le thanh cong,ko có,ko co,CannotFound
9453,HUTECH - Trường Đại học Công nghệ TP.HCM,hutech truong dai hoc cong nghe hcm,hutech truong dai hoc cong nghe hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9454,cao đẳng cao thắng,cao dang cao thang,cao dang cao thang,o to,o to,CannotFound
9455,Troy University - Vietnam Campus,troy university vietnam campus,troy university vietnam campus,Acedemic Upgrading knowledge,acedemic upgrading knowledge,CannotFound
9456,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Tp. Hồ Chí Minh,dai hoc khoa hoc tu nhien dai hoc quoc gia hcm,dai hoc khoa hoc tu nhien dai hoc quoc gia hcm,Hóa học,hoa hoc,hoa hoc
9457,Trường dạy lái xe Hoàng Gia,day lai xe hoang gia,day lai xe hoang gia,tài xế,tai xe,CannotFound
9458,University of Economics and Law,university of economics and law,university of economics and law,Chuyên ngành,chuyen nganh,chuyen nganh
9459,Đại Học Lao động Xã hội - Cơ sở Sơn Tây,dai hoc lao dong xa hoi co so son tay,dai hoc lao dong xa hoi co so son tay,Chuyên ngành,chuyen nganh,chuyen nganh
9460,Học viện Hàng không Việt Nam - Vietnam Aviation Academy,hoc vien hang khong viet nam vietnam aviation academy,hoc vien hang khong viet nam vietnam aviation academy,Chuyên ngành,chuyen nganh,chuyen nganh
9461,Trường Đại học Luật Hà Nội,dai hoc luat ha noi,dai hoc luat ha noi,Chuyên ngành,chuyen nganh,chuyen nganh
9462,Trường Đại học Nguyễn Tất Thành NTTU,dai hoc nguyen tat thanh nttu,dai hoc nguyen tat thanh nttu,Đông phương học,dong phuong hoc,dong phuong hoc
9463,Trường THPT Ba Chúc,trung hoc pho thong ba chuc,trung hoc pho thong ba chuc,Chuyên ngành,chuyen nganh,chuyen nganh
9464,Lac Hong University,lac hong university,lac hong university,Xa Hoi Hoc,xa hoi hoc,xa hoi hoc
9465,chua,chua,chua,Chuyên ngành,chuyen nganh,chuyen nganh
9466,đại học sư phạm  tphcm,dai hoc su pham hcm,dai hoc su pham hcm,tiếng anh,tieng anh,su pham tieng anh
9467,Đại học Bách Khoa TPHCM,dai hoc bach khoa hcm,dai hoc bach khoa hcm,Công nghệ sinh học,cong nghe sinh hoc,cong nghe sinh hoc
9468,cd cong thuong tp.hcm,cao dang cong thuong hcm,cao dang cong thuong hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9469,Cao đẳng kỹ nghệ 2,cao dang ky nghe 2,cao dang ky nghe 2,Dược,duoc,hoa duoc
9470,Hanoi National University of Education,hanoi national university of education,hanoi national university of education,Chuyên ngành Tâm lý và quản lý giáo dục,chuyen nganh tam ly quan ly giao duc,quan ly giao duc
9471,Trường Đại Học Giao Thông Vận Tải TP.HCM,dai hoc giao thong van tai hcm,dai hoc giao thong van tai hcm,"Kĩ Thuật Cơ Khí, Kĩ thuật xây dựng dân dụng, kĩ thuật điều khiển và tự động hóa",ki thuat co khi ki thuat xay dung dan dung ki thuat dieu khien tu dong hoa,CannotFound
9472,Cao đẳng Viễn Đông (TP.HCM),cao dang vien dong,cao dang vien dong,Khoa Quản trị văn phòng,khoa quan tri van phong,quan tri van phong
9473,Đại học Ngoại Thương - FTU,dai hoc ngoai thuong ftu,dai hoc ngoai thuong ftu,International Business and Economics,international business and economics,CannotFound
9474,y khoa vinh,y khoa vinh,y khoa vinh,Chuyên ngành,chuyen nganh,chuyen nganh
9475,sài gòn tourism,sai gon tourism,sai gon tourism,bếp nhà hàng khách sạn,bep nha hang khach san,CannotFound
9476,Ton Duc Thang University,ton duc thang university,ton duc thang university,Chuyên ngành,chuyen nganh,chuyen nganh
9477,Đại học Kinh tế Plekhanov,dai hoc kinh te plekhanov,dai hoc kinh te plekhanov,Kinh tế thế giới và quan hệ quốc tế,kinh te the gioi quan he quoc te,quan he quoc te
9478,Học viện Công nghệ Bưu Chính Viễn Thông - PTIT,hoc vien cong nghe buu chinh vien thong ptit,hoc vien cong nghe buu chinh vien thong ptit,Kỹ Thuật Điện Tử Truyền Thông,ky thuat dien tu truyen thong,ky thuat dien tu vien thong
9479,ĐH Tài Chính Kế Toán,dai hoc tai chinh ke toan,dai hoc tai chinh ke toan,Tài Chính Ngân Hàng,tai chinh ngan hang,tai chinh ngan hang
9480,Ho Chi Minh City College of Economics,hcm college of economics,hcm college of economics,Chuyên ngành,chuyen nganh,chuyen nganh
9481,ĐH Luật TPHCM,dai hoc luat hcm,dai hoc luat hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9482,Nguyễn khuyến,nguyen khuyen,nguyen khuyen,trung hoc,trung hoc,trung quoc hoc
9483,Trường Đại học Lao động - Xã hội,dai hoc lao dong xa hoi,dai hoc lao dong xa hoi,Chuyên ngành,chuyen nganh,chuyen nganh
9484,Trường DL Trần Hưng Đạo_ Tp Huế,dl tran hung dao hue,dl tran hung dao hue,Phổ thông,pho thong,CannotFound
9485,Trường Đại Học Công Nghiệp TP-HCM,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9486,ĐẠI HỌC BÁCH KHOA HÀ NỘI - HANOI UNIVERSITY OF SCIENCE AND TECHNOLOGY,dai hoc bach khoa ha noi hanoi university of science and technology,dai hoc bach khoa ha noi hanoi university of science and technology,IT programming,it programming,CannotFound
9487,Trường Đại học Giao thông vận tải TP.HCM,dai hoc giao thong van tai hcm,dai hoc giao thong van tai hcm,Chuyên ngành,chuyen nganh,chuyen nganh
9488,Đại học Quốc tế Hồng Bàng,dai hoc quoc te hong bang,dai hoc quoc te hong bang,Kinh tế quốc tế,kinh te quoc te,kinh te quoc te
9489,Cao Dang Nghe AG,cao dang nghe ag,cao dang nghe ag,Chuyên ngành,chuyen nganh,chuyen nganh
9490,Cao Đẳng Nghề An Giang,cao dang nghe an giang,cao dang nghe an giang,Chuyên ngành,chuyen nganh,chuyen nganh
9491,Đại Học Hùng Vương TP. HCM,dai hoc hung vuong hcm,dai hoc hung vuong hcm,Quản Trị Kinh Doanh,quan tri kinh doanh,quan tri kinh doanh
9492,Sheffield Hallam University,sheffield hallam university,sheffield hallam university,INTERNATIONAL MARKETING,international marketing,CannotFound
9493,LTU- HAnu,ltu hanu,ltu hanu,Chuyên ngành,chuyen nganh,chuyen nganh
9494,cao đẳng kinh tế đối ngoại,cao dang kinh te doi ngoai,cao dang kinh te doi ngoai,quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
9495,cao dang xay dung so 1,cao dang xay dung so 1,cao dang xay dung so 1,XDDD&CN,xddd cn,CannotFound
9496,cao dang tai chinh hai quan,cao dang tai chinh hai quan,cao dang tai chinh hai quan,Chuyên ngành,chuyen nganh,chuyen nganh
9497,TRƯỜNG CAO ĐẲNG TÀI CHÍNH HẢI QUAN,cao dang tai chinh hai quan,cao dang tai chinh hai quan,Chuyên ngành,chuyen nganh,chuyen nganh
9498,Dalat University,dalat university,dalat university,Chuyên ngành,chuyen nganh,chuyen nganh
9499,Đại học Bách Khoa TP.HCM,dai hoc bach khoa hcm,dai hoc bach khoa hcm,Chuyên ngành,chuyen nganh,chuyen nganh
