,school,school_norm,school_standard,specialization,specialization_norm,specialization_standard
3767,Hanoi University of Science and Technology,hanoi university of science and technology,hanoi university of science and technology,Lý thuyết điều khiển tự động,ly thuyet dieu khien tu dong,CannotFound
3768,THCS Thị Trấn,trung hoc co so thi tran,trung hoc co so thi tran,"Tiếng Anh, Toán, Online",tieng anh toan online,CannotFound
3769,Học viện Hàng không Việt Nam - Vietnam Aviation Academy,hoc vien hang khong viet nam vietnam aviation academy,hoc vien hang khong viet nam vietnam aviation academy,Phục Vụ Hành Khách,phuc vu hanh khach,CannotFound
3770,Trường Đại học Xây dựng Hà Nội,dai hoc xay dung ha noi,dai hoc xay dung ha noi,Thạc sỹ Kiến trúc,thac sy kien truc,kien truc
3771,Đại học Thương Mại,dai hoc thuong mai,dai hoc thuong mai,0,0,CannotFound
3772,Học viện Báo Chí và Tuyên Truyền,hoc vien bao chi tuyen truyen,hoc vien bao chi tuyen truyen,Chính trị học,chinh tri hoc,chinh tri hoc
3773,Đại học Đại Nam,dai hoc dai nam,dai hoc dai nam,Kế toán,ke toan,ke toan
3774,Trường Đại học Ngoại ngữ - Tin học TP. HCM - HUFLIT,dai hoc ngoai ngu tin hoc hcm huflit,dai hoc ngoai ngu tin hoc hcm huflit,Tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
3775,Đại Học Điện Lực Hà Nội,dai hoc dien luc ha noi,dai hoc dien luc ha noi,Kế toán doanh nghiệp,ke toan doanh nghiep,CannotFound
3776,cao đẳng kinh tế kỹ thuật miền nam,cao dang kinh te ky thuat mien nam,cao dang kinh te ky thuat mien nam,trung cấp tài chính ngân hàng,trung cap tai chinh ngan hang,tai chinh ngan hang
3777,Phạm Văn Đồng,pham van dong,pham van dong,trung học,trung hoc,trung quoc hoc
3778,trung học cơ sở,trung hoc co so,trung hoc co so,thể thao,the thao,huan luyen the thao
3779,Học Viện Ngân Hàng,hoc vien ngan hang,hoc vien ngan hang,Tài chính -  Ngân hàng,tai chinh ngan hang,tai chinh ngan hang
3780,thpt Vạn Xuân,trung hoc pho thong van xuan,trung hoc pho thong van xuan,thpt Vạn Xuân,trung hoc pho thong van xuan,CannotFound
3781,Đại học Kinh doanh và Công nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,dai hoc kinh doanh cong nghe ha noi,Tài chính - Ngân hàng,tai chinh ngan hang,tai chinh ngan hang
3782,Đại học Công Nghiệp Việt Hung,dai hoc cong nghiep viet hung,dai hoc cong nghiep viet hung,Tài chính Ngân Hàng,tai chinh ngan hang,tai chinh ngan hang
3783,truong dai hoc lac hong,dai hoc lac hong,dai hoc lac hong,ke toan,ke toan,ke toan
3784,Công nghiệp thực phẩm,cong nghiep thuc pham,cong nghiep thuc pham,Công nghệ may,cong nghe may,cong nghe det may
3785,FTU - HCMC,ftu hcm,ftu hcm,International Business Management,international business management,CannotFound
3786,Đại học Phương Đông - Phuong Dong University,dai hoc phuong dong phuong dong university,dai hoc phuong dong phuong dong university,1,1,CannotFound
3787,trường trung học cơ sở Phú Tân,trung hoc co so phu tan,trung hoc co so phu tan,học chính quy,hoc chinh quy,CannotFound
3788,Đại học Quang Trung,dai hoc quang trung,dai hoc quang trung,Tài chính - Ngân hàng,tai chinh ngan hang,tai chinh ngan hang
3789,Ho Chi Mibh city Open University,ho chi mibh open university,ho chi mibh open university,Molecular biology,molecular biology,sinh hoc
3790,Đại học Cần Thơ,dai hoc can tho,dai hoc can tho,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
3791,trường thpt quỳnh lưu 3,trung hoc pho thong quynh luu 3,trung hoc pho thong quynh luu 3,thpt,trung hoc pho thong,CannotFound
3792,ĐH Hà Nội,dai hoc ha noi,dai hoc ha noi,1,1,CannotFound
3793,Đại Học Công Ngiệp TP Hồ Chí Minh,dai hoc cong ngiep hcm,dai hoc cong ngiep hcm,công nghệ động lực - chuyên ngành công nghệ ô tô,cong nghe dong luc chuyen nganh cong nghe o to,chuyen nganh
3794,cao đẳng kinh tế đối ngoại,cao dang kinh te doi ngoai,cao dang kinh te doi ngoai,quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
3795,Cao Đẳng Công Nghệ Bắc Hà,cao dang cong nghe bac ha,cao dang cong nghe bac ha,Điện Tử,dien tu,CannotFound
3796,đại học Thương Mại,dai hoc thuong mai,dai hoc thuong mai,Quản trị kinh doanh chuyên ngành luật thương mại,quan tri kinh doanh chuyen nganh luat thuong mai,kinh doanh thuong mai
3797,Trung cấp Quân Y,trung cap quan y,trung cap quan y,y sĩ đa khoa,y si da khoa,y khoa
3798,VATC ,vatc,vatc,quản trị doanh nghiệp,quan tri doanh nghiep,quan tri moi truong doanh nghiep
3799,trung cấp dược Quang trung,trung cap duoc quang trung,trung cap duoc quang trung,dược,duoc,hoa duoc
3800,THPTHuong Can,trung hoc pho thonghuong can,trung hoc pho thonghuong can,khong co,khong co,CannotFound
3801,Cao Đẳng Công Nghệ và quản trị Sonadezi,cao dang cong nghe quan tri sonadezi,cao dang cong nghe quan tri sonadezi,Công Nghệ May - Thiết Kế Rập,cong nghe may thiet ke rap,CannotFound
3802,DH FPT,dai hoc fpt,dai hoc fpt,CNTT,cong nghe thong tin,cong nghe thong tin
3803,truong day nghề thanh xuân,day nghe thanh xuan,day nghe thanh xuan,chuyen nghanh điện lạnh,chuyen nghanh dien lanh,CannotFound
3804,Đại học Thành Đô,dai hoc thanh do,dai hoc thanh do,kế toán,ke toan,ke toan
3805,Đai học Công Nghiệp TpHCM,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,Tài chính,tai chinh,cong nghe tai chinh
3806,Đại học Kinh Tế TpHCM,dai hoc kinh te hcm,dai hoc kinh te hcm,Tài chính,tai chinh,cong nghe tai chinh
3807,vo thi sau,vo thi sau,vo thi sau,spa,spa,CannotFound
3808,Đại học Tài Chính Marketing,dai hoc tai chinh marketing,dai hoc tai chinh marketing,Kinh doanh quốc tế,kinh doanh quoc te,kinh doanh quoc te
3809,Đại học kinh tế kỹ thuật Công Nghiệp,dai hoc kinh te ky thuat cong nghiep,dai hoc kinh te ky thuat cong nghiep,Tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
3810,trường trung cấp nghề cửu long,trung cap nghe cuu long,trung cap nghe cuu long,Dược sỹ,duoc sy,CannotFound
3811,ĐH Kinh tế TP HCM,dai hoc kinh te hcm,dai hoc kinh te hcm,1,1,CannotFound
3812,ĐH Xây Dựng,dai hoc xay dung,dai hoc xay dung,1,1,CannotFound
3813,Học viện Báo chí và Tuyên truyền,hoc vien bao chi tuyen truyen,hoc vien bao chi tuyen truyen,1,1,CannotFound
3814,Trung tâm tin học - ĐH Khoa Học Tự Nhiên Tp.HCM,trung tam tin hoc dai hoc khoa hoc tu nhien hcm,trung tam tin hoc dai hoc khoa hoc tu nhien hcm,Đồ hoạ Đa truyền thông,do hoa da truyen thong,CannotFound
3815,Đại học Tôn Đức Thắng,dai hoc ton duc thang,dai hoc ton duc thang,Thiết kế đồ họa,thiet ke do hoa,thiet ke do hoa
3816,Cao đẳng Quốc tế Kent,cao dang quoc te kent,cao dang quoc te kent,Thiết kế đồ họa,thiet ke do hoa,thiet ke do hoa
3817,thpt than uyen lai chau,trung hoc pho thong than uyen lai chau,trung hoc pho thong than uyen lai chau,lai xe hang C,lai xe hang c,CannotFound
3818,học viện tài chính,hoc vien tai chinh,hoc vien tai chinh,tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
3819,đại học luật hà nội,dai hoc luat ha noi,dai hoc luat ha noi,tổng hợp,tong hop,CannotFound
3820,Đại Học Công nghiệp Việt Hung,dai hoc cong nghiep viet hung,dai hoc cong nghiep viet hung,Công Nghệ Thông Tin,cong nghe thong tin,cong nghe thong tin
3821,Đại học công nghiệp Tp HCM,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,Mạng Máy Tính,mang may tinh,CannotFound
3822,đại học kinh doanh và công nghệ hà nội,dai hoc kinh doanh cong nghe ha noi,dai hoc kinh doanh cong nghe ha noi,kế tóan,ke toan,ke toan
3823,Chu Văn An,chu van an,chu van an,THPT,trung hoc pho thong,CannotFound
3824,Đại học Hoa Sen,dai hoc hoa sen,dai hoc hoa sen,Anh văn thương mại,anh van thuong mai,CannotFound
3825,Đại học Sài Gòn,dai hoc sai gon,dai hoc sai gon,Thư ký văn phòng,thu ky van phong,CannotFound
3826,cao đặng việt my,cao dang viet my,cao dang viet my,kế toán doanh nghiệp,ke toan doanh nghiep,CannotFound
3827,Trường ĐẠI HỌC HÙNG VƯƠNG TP. HCM,dai hoc hung vuong hcm,dai hoc hung vuong hcm,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
3828,Học Viện Ngân Hàng ,hoc vien ngan hang,hoc vien ngan hang,Tài Chính Ngân Hàng ,tai chinh ngan hang,tai chinh ngan hang
3829,đại học Tây Đô,dai hoc tay do,dai hoc tay do,đại học dược,dai hoc duoc,CannotFound
3830,Trường đại học công nghiệp tp. Hồ Chí Minh,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,khoa kế toán_ kiểm toán,khoa ke toan kiem toan,kiem toan
3831,nông nghiệp3,nong nghiep3,nong nghiep3,kinh tế ,kinh te,kinh te
3832,truong tung hoc phổ thông hoàng quốc việt,tung hoc pho thong hoang quoc viet,tung hoc pho thong hoang quoc viet,mỹ phẩm,my pham,CannotFound
3833,Lớp 9 Trường THCS Nguyễn Tú,lop 9 truong trung hoc co so nguyen tu,lop 9 truong trung hoc co so nguyen tu,Không,khong,CannotFound
3834,dại học kinh tế kĩ thuật nam định,dai hoc kinh te ki thuat nam dinh,dai hoc kinh te ki thuat nam dinh,kế toán,ke toan,ke toan
3835,THPT Dương Xá,trung hoc pho thong duong xa,trung hoc pho thong duong xa,THPT,trung hoc pho thong,CannotFound
3836,đại học khoa học tự nhiên,dai hoc khoa hoc tu nhien,dai hoc khoa hoc tu nhien,sinh học,sinh hoc,sinh hoc
3837,THCS Lương Thế Vinh,trung hoc co so luong the vinh,trung hoc co so luong the vinh,Học sinh,hoc sinh,sinh hoc
3838,THPT Phú Nhuận,trung hoc pho thong phu nhuan,trung hoc pho thong phu nhuan,học sinh,hoc sinh,sinh hoc
3839,THPT,trung hoc pho thong,trung hoc pho thong,THPT,trung hoc pho thong,CannotFound
3840,Đại học Kinh tế TP. Hồ Chí Minh,dai hoc kinh te hcm,dai hoc kinh te hcm,Quản trị Kinh doanh,quan tri kinh doanh,quan tri kinh doanh
3841,đại học sài gòn,dai hoc sai gon,dai hoc sai gon,sư phạm,su pham,su pham dia ly
3842,Đại Học Công Nghiệp Hà Nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,kế toán,ke toan,ke toan
3843,đại học công nghê thành phố hồ chí minh,dai hoc cong nghe hcm,dai hoc cong nghe hcm,Ngôn ngữ anh,ngon ngu anh,ngon ngu anh
3844,trung cấp kinh tế hà nội,trung cap kinh te ha noi,trung cap kinh te ha noi,kế toán,ke toan,ke toan
3845,trung cấp kte hà nội,trung cap kte ha noi,trung cap kte ha noi,kế toán,ke toan,ke toan
3846,ĐH Tôn Đức Thắng TpHCm,dai hoc ton duc thang hcm,dai hoc ton duc thang hcm,QTKD,qtkd,CannotFound
3847,Trung tâm bảo trợ dạy - dạy nghề và tạo việc làm cho người tàn tật TP Hồ Chí Minh,trung tam bao tro day day nghe tao viec lam cho nguoi tan tat hcm,trung tam bao tro day day nghe tao viec lam cho nguoi tan tat hcm,"Hội họa, tin học, may vã",hoi hoa tin hoc may va,CannotFound
3848,Dai hoc cong nghiep tp.hcm,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,dien cong nghiep,dien cong nghiep,CannotFound
3849,Đào tạo vệ sĩ ,dao tao ve si,dao tao ve si,an ninh,an ninh,CannotFound
3850,truong nge,nge,nge,Lai xe,lai xe,CannotFound
3851,cao đẳng mẫu giáo trung ương,cao dang mau giao trung uong,cao dang mau giao trung uong,mầm non,mam non,giao duc mam non
3852,Đại học kinh doanh và công nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,dai hoc kinh doanh cong nghe ha noi,Tài chính,tai chinh,cong nghe tai chinh
3853,Đại Học Công Nghệ TP.HCM,dai hoc cong nghe hcm,dai hoc cong nghe hcm,Công Nghệ Thông Tin,cong nghe thong tin,cong nghe thong tin
3854,đại học khoa học xã hội và nhân văn,dai hoc khoa hoc xa hoi nhan van,dai hoc khoa hoc xa hoi nhan van,ngữ văn anh,ngu van anh,CannotFound
3855,Đại Học Kinh Tế - Đại học Đà Nẵng,dai hoc kinh te dai hoc da nang,dai hoc kinh te dai hoc da nang,Quản trị Kinh doanh,quan tri kinh doanh,quan tri kinh doanh
3856,CĐN công nghệ cao hà nội,cao dang nghe cong nghe cao ha noi,cao dang nghe cong nghe cao ha noi,thiết kế đồ họa,thiet ke do hoa,thiet ke do hoa
3857,Đại học Mở Tp. HCM,dai hoc mo hcm,dai hoc mo hcm,Kế toán - kiểm toán,ke toan kiem toan,kiem toan
3858,Đại học Công Nghiệp Thực Phẩm TP. HCM,dai hoc cong nghiep thuc pham hcm,dai hoc cong nghiep thuc pham hcm,kế toán,ke toan,ke toan
3859,ĐH Công nghệ Sài Gòn,dai hoc cong nghe sai gon,dai hoc cong nghe sai gon,Quản trị Kinh doanh,quan tri kinh doanh,quan tri kinh doanh
3860,Đại Học Công Nghệ Sài Gòn,dai hoc cong nghe sai gon,dai hoc cong nghe sai gon,Quản Trị Kinh Doanh,quan tri kinh doanh,quan tri kinh doanh
3861,trung cấp du lich và khách sạn Saigon Tourist,trung cap du lich khach san saigon tourist,trung cap du lich khach san saigon tourist,bếp âu căn bản,bep au can ban,CannotFound
3862,Trường CĐ Thương Mại Đà Nẵng,cao dang thuong mai da nang,cao dang thuong mai da nang,Quản Trị Kinh Doanh,quan tri kinh doanh,quan tri kinh doanh
3863,VIETNAM NATIONAL UNIVERSITY OF AGRICULTURE,vietnam national university of agriculture,vietnam national university of agriculture,Rural Development,rural development,phat trien nong thon
3864,nguyễn tất thành,nguyen tat thanh,nguyen tat thanh,ngôn ngữ anh,ngon ngu anh,ngon ngu anh
3865,đại học kinh tế kỹ thuật công nghiệp,dai hoc kinh te ky thuat cong nghiep,dai hoc kinh te ky thuat cong nghiep,quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
3866,THPT THANH OAI B,trung hoc pho thong thanh oai b,trung hoc pho thong thanh oai b,cơ bản,co ban,CannotFound
3867,Đại học sân khấu và điện ảnh hà nội,dai hoc san khau dien anh ha noi,dai hoc san khau dien anh ha noi,Thiết kế mỹ thuật,thiet ke my thuat,CannotFound
3868,The Kuban State University ,the kuban state university,the kuban state university,Kinh tế thế giới ,kinh te the gioi,kinh te
3869,Đại học Điện Lực ,dai hoc dien luc,dai hoc dien luc,Tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
3870,Trung tâm hướng nghiệp và giáo dục thường xuyên tỉnh quảng ninh,trung tam huong nghiep giao duc thuong xuyen tinh quang ninh,trung tam huong nghiep giao duc thuong xuyen tinh quang ninh,điện công nghiệp,dien cong nghiep,CannotFound
3871,Đại học Công Nghiệp Tp.hcm,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,Cơ khí chế tạo,co khi che tao,CannotFound
3872,cao đẳng kinh tế hồ chí minh,cao dang kinh te hcm,cao dang kinh te hcm,quản trị kinh doanhho,quan tri kinh doanhho,quan tri kinh doanh
3873,Đại học Mở TPHCM,dai hoc mo hcm,dai hoc mo hcm,Khoa học máy tính,khoa hoc may tinh,khoa hoc may tinh
3874,Trung Cấp Tôn Đức Thắng,trung cap ton duc thang,trung cap ton duc thang,Quản trị và Bán hàng Siêu Thị,quan tri ban hang sieu thi,CannotFound
3875,Đại học Mở TPHCM,dai hoc mo hcm,dai hoc mo hcm,Khoa học máy tính,khoa hoc may tinh,khoa hoc may tinh
3876,Fpt University,fpt university,fpt university,Software Engineering,software engineering,CannotFound
3877,Đh Bách Khoa Hà Nôi,dai hoc bach khoa ha noi,dai hoc bach khoa ha noi,Khoa học máy tính,khoa hoc may tinh,khoa hoc may tinh
3878,Đại học Kinh tế Quốc dân Hà Nội,dai hoc kinh te quoc dan ha noi,dai hoc kinh te quoc dan ha noi,QTKD tổng hợp,qtkd tong hop,CannotFound
3879,Đại học Phương Đông,dai hoc phuong dong,dai hoc phuong dong,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
3880,Học viện CNTT Bách Khoa Hà Nội,hoc vien cong nghe thong tin bach khoa ha noi,hoc vien cong nghe thong tin bach khoa ha noi,Quản trị mạng,quan tri mang,CannotFound
3881,THPT Trần Văn Giàu,trung hoc pho thong tran van giau,trung hoc pho thong tran van giau,Tự nhiên,tu nhien,dia ly tu nhien
3882,Công nghiệp Hà Nội,cong nghiep ha noi,cong nghiep ha noi,Điện - Điện Tử,dien dien tu,CannotFound
3883,công nghiệp hà nội,cong nghiep ha noi,cong nghiep ha noi,Điện - điện tử,dien dien tu,CannotFound
3884,Học viện Hành chính Quốc gia,hoc vien hanh chinh quoc gia,hoc vien hanh chinh quoc gia,Thanh tra,thanh tra,CannotFound
3885,Đại học Sài Gòn,dai hoc sai gon,dai hoc sai gon,Sư phạm Vật Lý,su pham vat ly,su pham vat ly
3886,Cao đẳng thương mại vag du lịch Hà Nội,cao dang thuong mai vag du lich ha noi,cao dang thuong mai vag du lich ha noi,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
3887,Đại học Tôn Đức Thắng,dai hoc ton duc thang,dai hoc ton duc thang,Tiếng Anh Thương Mại,tieng anh thuong mai,CannotFound
3888,Đại học Nam Toulon Var,dai hoc nam toulon var,dai hoc nam toulon var,Tài chính ngân hàng bảo hiểm,tai chinh ngan hang bao hiem,tai chinh ngan hang
3889,Cao đẳng Viễn Đông,cao dang vien dong,cao dang vien dong,Tin Học Ứng Dụng,tin hoc ung dung,sinh hoc ung dung
3890,THPT Hùng Vương,trung hoc pho thong hung vuong,trung hoc pho thong hung vuong,0,0,CannotFound
3891,Trung cấp kĩ thuật và nghiệp vụ Nam Sài Gòn,trung cap ki thuat nghiep vu nam sai gon,trung cap ki thuat nghiep vu nam sai gon,Thời Trang,thoi trang,thiet ke thoi trang
3892,đại học xây dựng,dai hoc xay dung,dai hoc xay dung,xây dựng dân dụng và công nghiệp,xay dung dan dung cong nghiep,CannotFound
3893,Đại học Kinh Doanh và Công Nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,dai hoc kinh doanh cong nghe ha noi,Quản trị dịch vụ du lịch và lữ hành,quan tri dich vu du lich lu hanh,quan tri dich vu du lich lu hanh
3894,Đại học Kinh Doanh và Công Nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,dai hoc kinh doanh cong nghe ha noi,Tài Chính Doanh Nghiệp,tai chinh doanh nghiep,CannotFound
3895,Đại học Vinh,dai hoc vinh,dai hoc vinh,0,0,CannotFound
3896,Đại học Nguyễn Tất Thành,dai hoc nguyen tat thanh,dai hoc nguyen tat thanh,0,0,CannotFound
3897,Trung cấp tổng hợp TP Hồ Chí Minh,trung cap tong hop hcm,trung cap tong hop hcm,0,0,CannotFound
3898,Đại học Công nghiệp TP Hồ Chí Minh,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,0,0,CannotFound
3899,trung học phổ thông bù nho,trung hoc pho thong bu nho,trung hoc pho thong bu nho,không,khong,CannotFound
3900,trung cap nghe tinh binh,trung cap nghe tinh binh,trung cap nghe tinh binh,cong nghe oto,cong nghe oto,CannotFound
3901,university of sunderland,university of sunderland,university of sunderland,electrical engineering ,electrical engineering,ky thuat dien
3902,Đại Học Kinh Tế Tp. HCM,dai hoc kinh te hcm,dai hoc kinh te hcm,Quản trị Kinh doanh Ngoại Thương,quan tri kinh doanh ngoai thuong,quan tri kinh doanh
3903,Trường Đại học Công nghiệp Tphcm,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,Điện tử - Tự Động,dien tu tu dong,CannotFound
3904,Đại học công nghiệp Hà Nội,dai hoc cong nghiep ha noi,dai hoc cong nghiep ha noi,Điện tử - truyền thông,dien tu truyen thong,bieu dien nhac cu truyen thong
3905,trường Đại Học Công Nghệ HuTech TP Hồ Chí Minh,dai hoc cong nghe hutech hcm,dai hoc cong nghe hutech hcm,Quản Trị Doanh Nghiệp,quan tri doanh nghiep,quan tri moi truong doanh nghiep
3906,Hvkt quân sự,hvkt quan su,hvkt quan su,xây dựng dân dụng và công nghiệp,xay dung dan dung cong nghiep,CannotFound
3907,Đại học Hà Nội,dai hoc ha noi,dai hoc ha noi,Ngôn ngữ,ngon ngu,ngon ngu hoc
3908,Đại học sư phạm TP HCM,dai hoc su pham hcm,dai hoc su pham hcm,sư phạm tin học,su pham tin hoc,su pham tin hoc
3909,Hoa Sen,hoa sen,hoa sen,Quản trị Hành Chánh Văn phòng,quan tri hanh chanh van phong,quan tri van phong
3910,Cao đẳng công nghệ thông tin hữu nghị việt hàn,cao dang cong nghe thong tin huu nghi viet han,cao dang cong nghe thong tin huu nghi viet han,công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
3911,Trường ĐH SPKT Vinh,dai hoc spkt vinh,dai hoc spkt vinh,Cơ Khí Động Lực,co khi dong luc,ky thuat co khi dong luc
3912,đại học Sư Phạm Kỹ Thuật TP Hồ Chí Minh,dai hoc su pham ky thuat hcm,dai hoc su pham ky thuat hcm,Điện Công Nghiệp,dien cong nghiep,CannotFound
3913,cao đẳng văn hoá nghệ thuật tp HCM,cao dang van hoa nghe thuat hcm,cao dang van hoa nghe thuat hcm,Thiết kế thời trang,thiet ke thoi trang,thiet ke thoi trang
3914,đại học Khoa Học Tự Nhiên,dai hoc khoa hoc tu nhien,dai hoc khoa hoc tu nhien,Đồ hoạ ứng dụng đa truyền thông,do hoa ung dung da truyen thong,CannotFound
3915,Đại học Luật Tp. HCM,dai hoc luat hcm,dai hoc luat hcm,Luật học,luat hoc,CannotFound
3916,Học Viện Tư Pháp TP. HCM,hoc vien tu phap hcm,hoc vien tu phap hcm,Đào tạo luật sư,dao tao luat su,CannotFound
3917,cd nghe ky thuat cong nghe,cao dang nghe ky thuat cong nghe,cao dang nghe ky thuat cong nghe,tien,tien,CannotFound
3918,Đại Học Công Nghệ Tp.Hcm,dai hoc cong nghe hcm,dai hoc cong nghe hcm,Công Nghệ Sinh Học,cong nghe sinh hoc,cong nghe sinh hoc
3919,Đại Học Mỏ Địa Chất Hà Nội,dai hoc mo dia chat ha noi,dai hoc mo dia chat ha noi,Tuyển Khoáng,tuyen khoang,ky thuat tuyen khoang
3920,trường hướng nghiệp á âu,huong nghiep a au,huong nghiep a au,bếp bánh,bep banh,CannotFound
3921,Trung Học Phổ Thông Trương Định,trung hoc pho thong truong dinh,trung hoc pho thong truong dinh,Cơ Bản,co ban,CannotFound
3922,Cao Dang Ky Thuat Cao Thang,cao dang ky thuat cao thang,cao dang ky thuat cao thang,Dien tu cong nghiep,dien tu cong nghiep,CannotFound
3923,Đại học Đại Nam,dai hoc dai nam,dai hoc dai nam,Tài chính ngân hàng,tai chinh ngan hang,tai chinh ngan hang
3924,học viện công nghệ bưu chính viễn thông,hoc vien cong nghe buu chinh vien thong,hoc vien cong nghe buu chinh vien thong,điện tử viễn thông,dien tu vien thong,ky thuat dien tu vien thong
3925,Đại học Công Đoàn,dai hoc cong doan,dai hoc cong doan,An toàn lao động,an toan lao dong,CannotFound
3926,HUFLIT,huflit,huflit,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
3927,Đh Văn Hoá Hà Nội,dai hoc van hoa ha noi,dai hoc van hoa ha noi,Văn hoá du lịch,van hoa du lich,CannotFound
3928,dại học tây nguyên,dai hoc tay nguyen,dai hoc tay nguyen,luật kinh doanh,luat kinh doanh,CannotFound
3929,đại học Kinh Tế Quốc Dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Quản Trị Kinh Doanh,quan tri kinh doanh,quan tri kinh doanh
3930,DH FPT,dai hoc fpt,dai hoc fpt,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
3931,học viện báo chí và tuyên truyền,hoc vien bao chi tuyen truyen,hoc vien bao chi tuyen truyen,khoa học quản lý nhà nước,khoa hoc quan ly nha nuoc,khoa hoc quan ly
3932,thpt Nguyễn Hữu Tiến,trung hoc pho thong nguyen huu tien,trung hoc pho thong nguyen huu tien,cấp 3,cap 3,CannotFound
3933,đại học văn hiến,dai hoc van hien,dai hoc van hien,quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
3934,lam sơn 2,lam son 2,lam son 2,trung học phổ thông,trung hoc pho thong,CannotFound
3935,đại học xây dựng,dai hoc xay dung,dai hoc xay dung,công nghệ thông tin,cong nghe thong tin,cong nghe thong tin
3936,Đại học Ngoại Thương Tp.HCM,dai hoc ngoai thuong hcm,dai hoc ngoai thuong hcm,Tài chính quốc tế,tai chinh quoc te,CannotFound
3937,đại học vinh,dai hoc vinh,dai hoc vinh,luật,luat,luat
3938,Học viện chính sách và phát triển,hoc vien chinh sach phat trien,hoc vien chinh sach phat trien,Quản lý nhà nước/Chính sách công,quan ly nha nuoc/chinh sach cong,quan ly nha nuoc
3939,Cao đằng Gtvt 3,cao dang giao thong van tai 3,cao dang giao thong van tai 3,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
3940,Đại học kinh tế luật tp.hcm - đại học quốc gia,dai hoc kinh te luat hcm dai hoc quoc gia,dai hoc kinh te luat hcm dai hoc quoc gia,kinh tế đối ngoại,kinh te doi ngoai,kinh te
3941,trường THPT trần đại nghĩa,trung hoc pho thong tran dai nghia,trung hoc pho thong tran dai nghia,hoc phổ thông,hoc pho thong,CannotFound
3942,Cao đẳng GTVT III,cao dang giao thong van tai 3,cao dang giao thong van tai 3,Xây Dựng,xay dung,quan ly xay dung
3943,trung tam tham my whynot,trung tam tham my whynot,trung tam tham my whynot,nail,nail,CannotFound
3944,Trung Cấp Đông Dương,trung cap dong duong,trung cap dong duong,Sư Phạm Tiểu Học,su pham tieu hoc,su pham tin hoc
3945,thang long,thang long,thang long,trung capkha,trung capkha,CannotFound
3946,đại học khoa học xã hội và nhân văn,dai hoc khoa hoc xa hoi nhan van,dai hoc khoa hoc xa hoi nhan van,thoing tin học,thoing tin hoc,CannotFound
3947,Đại Học Điện Lực,dai hoc dien luc,dai hoc dien luc,kế toán,ke toan,ke toan
3948,Cao Đẳng Cộng đồng Cà Mau,cao dang cong dong ca mau,cao dang cong dong ca mau,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
3949,Đại học Dược Hà Nội,dai hoc duoc ha noi,dai hoc duoc ha noi,Chuyên ngành Công nghiệp Dược,chuyen nganh cong nghiep duoc,chuyen nganh
3950,Đại Học Kinh tế  Quốc dân,dai hoc kinh te quoc dan,dai hoc kinh te quoc dan,Kiểm toán,kiem toan,kiem toan
3951,Trường Trung Học Phổ Thông Lê Thánh Tông,trung hoc pho thong le thanh tong,trung hoc pho thong le thanh tong,Khối D,khoi d,CannotFound
3952,đại học sân khấu điện ảnh hà nội,dai hoc san khau dien anh ha noi,dai hoc san khau dien anh ha noi,biên kịch điện ảnh,bien kich dien anh,bien kich dien anh truyen hinh
3953,đại học khoa học xã hội nhân văn,dai hoc khoa hoc xa hoi nhan van,dai hoc khoa hoc xa hoi nhan van,biên kịch điện ảnh và truyền hình,bien kich dien anh truyen hinh,bien kich dien anh truyen hinh
3954,trường đại học công nghệ đồng nai,dai hoc cong nghe dong nai,dai hoc cong nghe dong nai,kỹ sư cơ khí cơ điện tử,ky su co khi co dien tu,CannotFound
